Model,Backend,Requirements,Coverage (%),Mutation Score (%),Verification Pass (%),Cost (USD approx)
Claude Sonnet 4.6,anthropic,312,100.0,59.5,95.6,40.0
Claude Haiku 4.5,anthropic,78,100.0,69.2,87.2,1.2
