mutant_id,operator,file,line,killed,failing_tests
SUT3-M0001,cmp,flaskr/auth.py,53,1,tests/test_auth.py::test_register;tests/test_auth.py::test_register_validate_input[--Username;tests/test_auth.py::test_register_validate_input[a--Password;tests/test_auth.py::test_register_validate_input[test-test-already
SUT3-M0002,cmp,flaskr/auth.py,87,1,tests/test_auth.py::test_login;tests/test_auth.py::test_login_validate_input[a-test-Incorrect;tests/test_auth.py::test_login_validate_input[test-a-Incorrect;tests/test_blog.py::test_author_required;tests/test_blog.py::test_create;tests/test_blog.py::test_create_update_validate[/1/update];tests/test_
SUT3-M0003,ret-none,flaskr/auth.py,29,1,tests/test_auth.py::test_login;tests/test_auth.py::test_login_validate_input[a-test-Incorrect;tests/test_auth.py::test_login_validate_input[test-a-Incorrect;tests/test_auth.py::test_logout;tests/test_auth.py::test_register;tests/test_auth.py::test_register_validate_input[--Username;tests/test_auth.p
SUT3-M0004,ret-none,flaskr/auth.py,81,1,tests/test_auth.py::test_register;tests/test_auth.py::test_register_validate_input[--Username;tests/test_auth.py::test_register_validate_input[a--Password;tests/test_auth.py::test_register_validate_input[test-test-already
SUT3-M0005,ret-none,flaskr/auth.py,109,1,tests/test_auth.py::test_login;tests/test_auth.py::test_login_validate_input[a-test-Incorrect;tests/test_auth.py::test_login_validate_input[test-a-Incorrect
SUT3-M0006,ret-none,flaskr/auth.py,116,1,tests/test_auth.py::test_logout
SUT3-M0007,ret-none,flaskr/auth.py,27,1,tests/test_blog.py::test_author_required;tests/test_blog.py::test_create;tests/test_blog.py::test_create_update_validate[/1/update];tests/test_blog.py::test_create_update_validate[/create];tests/test_blog.py::test_delete;tests/test_blog.py::test_exists_required[/2/delete];tests/test_blog.py::test_ex
SUT3-M0008,ret-none,flaskr/auth.py,25,1,tests/test_blog.py::test_login_required[/1/delete];tests/test_blog.py::test_login_required[/1/update];tests/test_blog.py::test_login_required[/create]
SUT3-M0009,ret-none,flaskr/auth.py,105,1,tests/test_auth.py::test_login;tests/test_auth.py::test_logout;tests/test_blog.py::test_author_required;tests/test_blog.py::test_create;tests/test_blog.py::test_create_update_validate[/1/update];tests/test_blog.py::test_create_update_validate[/create];tests/test_blog.py::test_delete;tests/test_blog.
SUT3-M0010,ret-none,flaskr/auth.py,77,1,tests/test_auth.py::test_register
SUT3-M0011,cmp,flaskr/blog.py,64,1,tests/test_blog.py::test_create;tests/test_blog.py::test_create_update_validate[/create]
SUT3-M0012,cmp,flaskr/blog.py,92,1,tests/test_blog.py::test_create_update_validate[/1/update];tests/test_blog.py::test_update
SUT3-M0013,cmp,flaskr/blog.py,54,1,tests/test_blog.py::test_author_required;tests/test_blog.py::test_create_update_validate[/1/update];tests/test_blog.py::test_delete;tests/test_blog.py::test_update
SUT3-M0014,bool,flaskr/blog.py,54,1,tests/test_blog.py::test_create_update_validate[/1/update];tests/test_blog.py::test_delete;tests/test_blog.py::test_update
SUT3-M0015,const,flaskr/blog.py,52,1,tests/test_blog.py::test_exists_required[/2/delete];tests/test_blog.py::test_exists_required[/2/update]
SUT3-M0016,const,flaskr/blog.py,52,1,tests/test_blog.py::test_exists_required[/2/delete];tests/test_blog.py::test_exists_required[/2/update]
SUT3-M0017,const,flaskr/blog.py,55,1,tests/test_blog.py::test_author_required
SUT3-M0018,const,flaskr/blog.py,55,1,tests/test_blog.py::test_author_required
SUT3-M0019,ret-none,flaskr/blog.py,25,1,tests/test_auth.py::test_login;tests/test_blog.py::test_author_required;tests/test_blog.py::test_index
SUT3-M0020,ret-none,flaskr/blog.py,57,1,tests/test_blog.py::test_create_update_validate[/1/update];tests/test_blog.py::test_update
SUT3-M0021,ret-none,flaskr/blog.py,83,1,tests/test_blog.py::test_create;tests/test_blog.py::test_create_update_validate[/create]
SUT3-M0022,ret-none,flaskr/blog.py,110,1,tests/test_blog.py::test_create_update_validate[/1/update];tests/test_blog.py::test_update
SUT3-M0023,ret-none,flaskr/blog.py,125,1,tests/test_blog.py::test_delete
SUT3-M0024,ret-none,flaskr/blog.py,81,1,tests/test_blog.py::test_create
SUT3-M0025,ret-none,flaskr/blog.py,108,1,tests/test_blog.py::test_update
SUT3-M0026,bool_const,flaskr/blog.py,28,1,tests/test_blog.py::test_author_required
SUT3-M0027,ret-none,flaskr/db.py,20,1,tests/test_auth.py::test_login;tests/test_auth.py::test_login_validate_input[a-test-Incorrect;tests/test_auth.py::test_login_validate_input[test-a-Incorrect;tests/test_auth.py::test_logout;tests/test_auth.py::test_register;tests/test_auth.py::test_register_validate_input[--Username;tests/test_auth.p
SUT3-M0028,ret-none,flaskr/__init__.py,48,1,tests/test_auth.py::test_login;tests/test_auth.py::test_login_validate_input[a-test-Incorrect;tests/test_auth.py::test_login_validate_input[test-a-Incorrect;tests/test_auth.py::test_logout;tests/test_auth.py::test_register;tests/test_auth.py::test_register_validate_input[--Username;tests/test_auth.p
SUT3-M0029,ret-none,flaskr/__init__.py,28,1,tests/test_factory.py::test_hello
SUT3-M0030,bool_const,flaskr/__init__.py,8,0,
SUT3-M0031,bool_const,flaskr/__init__.py,24,1,tests/test_auth.py::test_login;tests/test_auth.py::test_login_validate_input[a-test-Incorrect;tests/test_auth.py::test_login_validate_input[test-a-Incorrect;tests/test_auth.py::test_logout;tests/test_auth.py::test_register;tests/test_auth.py::test_register_validate_input[--Username;tests/test_auth.p
SUT3-M0032,bool_const,flaskr/__init__.py,18,1,tests/test_factory.py::test_config
